name,category,address,lat,lon
Casa Miquel Cal Millàs,otro,C Vallfogona 18.0 ,41.4031305099263,2.157560504523872
Casa Pere Jaqués,otro,C Olot 2.0 ,41.41285094265032,2.152378393383484
Casa Ramos,otro,Pl Lesseps 30.0 ,41.4061899908628,2.149575785577088
Casa de les Altures,otro,Rda Guinardó 49.0 ,41.41279780128245,2.166481155557753
Teatre Grec,otro,Pg Santa Madrona 36.0 ,41.36812384413011,2.158482875531215
Parròquia de Santa Maria de Gràcia,Parròquia,C Gràcia 3.0 ,41.39833719125325,2.1579647021625696
Club Tennis La Salut,Club,Carrer de la Mare de Déu de la Salut 75.0 ,41.41234042111287,2.15819198579813
Parc de Can Rigal,Parc,Av Albert Bastardas 23.0 ,41.37932819241353,2.107739056786728
Torre d'Ignacio Portabella,otro,Av Tibidabo 27.0 ,41.41281169827557,2.134981213630846
El Jardí Vertical,otro,C Berlín 107.0 ,41.38512796595029,2.141744623609296
Casa Hurtado,otro,Av Pedralbes 46.0 ,41.39242149167882,2.11632547019372
La Gran Via de Carles III,otro,G.V. Carles III 60.0 ,41.38359761148749,2.128056674070894
La plaça de la Concòrdia,otro,Pl Concòrdia nan ,41.38653963624162,2.132091361234996
La Porta Sud de la Finca Güell,otro,C Lluís Solé i Sabarís 1.0 ,41.384912355918026,2.1189006112022293
Antic Dispensari Antituberculós,otro,C Torres i Amat 8.0 ,41.38433595216771,2.165173981341848
Jardinets de Salvador Espriu,otro,Pg Gràcia 118.0 ,41.39738205805117,2.159002039604903
Ca l'Estruc- Convent de les Germanes de l'Assumpció,otro,C Pons i Gallarza 30.0 ,41.43553951634989,2.1880199202730286
Botiga Casa Rusca,otro,C Gran de Sant Andreu 135.0 ,41.431621867432426,2.1892871049773523
La Mina Grott,otro,Camí del Cama-sec 22.0 28.0,41.41529444742222,2.0975454897320374
Cooperativa La Guardiola Familiar,otro,C Borriana 54.0 ,41.43056706573951,2.191828973297836
Pavelló de Ràdio Barcelona al Parc d'Atraccions del Tibidabo,Parc,Carretera de Vallvidrera al Tibidabo 101.0 103.0,41.42410490506085,2.1193142250845742
Villa Esperanza,otro,Ptge Isabel 8.0 ,41.41363246951803,2.146376241035286
Colònia Bausili,otro,C Colònia Bausili 3.0 ,41.35303880848997,2.1435520408982858
Carrer Avió Plus Ultra,otro,C Avió Plus Ultra 1.0 ,41.40033306045677,2.122019654847453
Bar Colòmbia,otro,Rbla Fabra i Puig 1.0 ,41.43001110132735,2.1895226462085007
El camp de la Creu,otro,Pl Carme 1.0 ,41.388763523980295,2.140180281885298
Sant Joan de Dalt,otro,Pg Sant Joan 150.0 ,41.40216470756282,2.166410951526073
El pont de Mühlberg,otro,C Mühlberg 100.0 ,41.41856212293422,2.161799283919621
Can Carreras,otro,Parc Central de Nou Barris 0.0 0.0,41.43682827931477,2.1678701924114794
El passatge de l'Esperança,otro,Ptge Esperança 5.0 ,41.42909687213159,2.176942405239261
Casa de la Lactància,otro,G.V. Corts Catalanes 475.0 ,41.38013155447215,2.155454935741646
Casal de Barri Can Portabella,otro,C Virgili 18.0 ,41.4291308751184,2.193936700525465
Forn de Pa Roura Vila,otro,C Calaf 15.0 ,41.39744142472332,2.144269436975635
Restaurant Dos Torres,Restaurant,Via Augusta 300.0 ,41.39795538977431,2.128704952652439
Eix Comercial del Poblenou,otro,C Pallars 224.0 ,41.402619669138986,2.199899590115794
Las Golondrinas - Sirenas SA,otro,Moll Drassanes 1.0 ,41.3746514376551,2.1781153021938917
Casa Elisa Bremon d'Espina,otro,C Gran de Gràcia 61.0 ,41.399646914660494,2.155601559279648
Casa Eloy Detouche,otro,C Pare Laínez 17.0 ,41.406698383788495,2.16476312511361
Casa F. Homet,otro,C Santa Magdalena 1.0 ,41.40368647833563,2.1524799804849275
Casa Feliu Iglesies,otro,C Gran de Gràcia 135.0 ,41.402178366408194,2.152775398750866
Casa Gustà,otro,C Ca l'Alegre de Dalt 72.0 ,41.41041608639633,2.160063116454555
Santa Creu d'Olorda,otro,Ctra Santa Creu Olorda a Sarrià 417.0 ,41.415981372010265,2.0590073481470856
Pont de Calatrava (Bac de Roda - Felip II),otro,Carrer de Felip II 2.0 ,41.416166339580734,2.1924102551677853
Can Mora,otro,C Portell 11.0 ,41.41790973374814,2.151042845959997
Can Muntaner de Dalt,otro,C Olot 1.0 ,41.41350924872243,2.1531271963876577
Can Trilla,otro,C Gran de Gràcia 177.0 ,41.40354926420721,2.1519292949349675
El Campus Raval - UB,otro,C Montalegre 6.0 ,41.38407718499735,2.166899934194828
Carrer Pons i Gallarza,otro,C Bascònia 45.0 ,41.4355421004354,2.186869522394108
Carrer Puerto Príncipe,otro,C Puerto Príncipe 44.0 ,41.422608628418345,2.181260260566652
La Plaça Santa Madrona,otro,Pl Santa Madrona 3.0 ,41.37346904326101,2.1563144249358346
Camisseria Bonet,otro,C Rambla 72.0 ,41.38079964125222,2.173883382684312
Casa Doctor Genové,otro,C Rambla 77.0 ,41.38142514089114,2.1728234402079813
Casa Domènech i Estapà,otro,C València 241.0 ,41.39228681466528,2.1625666401735337
Ateneu de Fabricació Digital de Les Corts,otro,Carrer d'Evarist Arnús 59.0 59.0,41.38355424224072,2.1355597687429912
Seu de la Secció 10 de les Patrulles de Control (Guerra Civil),otro,C Gran de Sant Andreu 52.0 ,41.42911252316188,2.19036384484912
